employee_id,name,email,department,designation,salary,date_of_joining
1,Dr. Jill Barnett,jenniferflores@edwards.biz,Sales,Business Development,110036.88,2024-05-27
2,Jacqueline Flowers MD,george73@herrera-owens.info,IT,Software Engineer,77056.41,2016-04-29
3,Michael Washington,richardsdawn@vasquez-parker.com,Operations,Procurement Specialist,90743.25,2024-01-09
4,Terry Suarez,fergusonheather@gmail.com,HR,Training Specialist,92856.75,2020-04-22
5,Joshua Haynes,lisa88@ortega.com,Finance,Financial Analyst,97609.5,2023-11-15
6,Joseph Clark,mcknightwilliam@riley.biz,HR,Recruiter,68077.91,2023-03-25
7,Frank Webb,charles80@kelley.info,Sales,Sales Executive,72650.73,2015-11-23
8,Robin Ramirez,qreese@yahoo.com,Sales,Sales Executive,115887.03,2020-01-01
9,Russell Martinez,othomas@grimes-rios.com,Marketing,Content Strategist,113610.28,2023-08-04
10,Tony May,imarshall@gmail.com,Marketing,Content Strategist,52249.79,2021-10-23
11,Rhonda Watkins,dawnballard@yahoo.com,Marketing,Marketing Manager,63651.06,2021-07-08
12,Brian Ware,hmerritt@erickson.info,Operations,Operations Manager,108534.69,2018-03-17
13,Heather Page,benjaminharris@hotmail.com,Sales,Sales Executive,103121.85,2019-10-12
14,Alyssa Reilly,christopher52@chapman-foster.biz,Sales,Account Manager,42984.78,2022-02-18
15,Victoria Mejia,qwong@hotmail.com,IT,Software Engineer,79349.56,2016-12-19
16,Stephanie Manning,basschristopher@gmail.com,Marketing,Marketing Manager,51296.33,2023-08-21
17,Brian Clark,ronaldhunt@miller.biz,Marketing,Content Strategist,117076.02,2020-09-20
18,Brenda Mitchell,gregory03@gmail.com,Marketing,SEO Specialist,114962.56,2019-09-15
19,Renee Miller,hayesmelissa@hotmail.com,Sales,Account Manager,61960.55,2018-09-18
20,Tina Smith,matthewmiller@gmail.com,IT,Data Scientist,56513.19,2020-01-28
21,Tamara Carlson,priley@clark.com,Operations,Procurement Specialist,52962.72,2021-01-30
22,Angel Hull MD,ybrown@pratt-vargas.org,Finance,Financial Analyst,79379.49,2021-10-10
23,Sean Adams,norrismichelle@wright.biz,Marketing,SEO Specialist,70462.13,2017-04-05
24,Deanna Golden,jamesernest@torres-hernandez.com,IT,Data Scientist,86930.19,2024-02-03
25,Gary Matthews,johnsonnicole@terry-martin.info,Marketing,Marketing Manager,98648.54,2018-08-17
26,Luis Dalton,salazarcourtney@russell.info,Operations,Logistics Coordinator,85733.56,2021-01-01
27,Amber Franklin,michael51@yahoo.com,IT,Data Scientist,69391.42,2024-05-16
28,Jennifer Jimenez,mccoyjohn@gmail.com,IT,Data Scientist,105801.7,2017-04-01
29,Lisa Garner,robertrobinson@gmail.com,Marketing,Marketing Manager,90791.83,2022-01-27
30,Travis Phillips,harristamara@yahoo.com,IT,Data Scientist,57051.96,2024-09-24
31,Scott Long,jessicagardner@williams.biz,HR,Recruiter,63317.42,2016-08-21
32,Randall Fischer,powellamanda@hotmail.com,HR,HR Manager,63967.25,2020-08-25
33,Daniel Herring,susansnyder@castaneda.com,Marketing,Marketing Manager,80496.69,2024-04-02
34,Adriana Bennett,jorgelivingston@hotmail.com,Sales,Account Manager,107085.23,2016-05-16
35,Natasha Garcia,austin29@wallace.com,Finance,Auditor,102387.81,2020-12-22
36,Derrick Stark,tprice@hotmail.com,Sales,Account Manager,86302.62,2018-12-26
37,Lauren Hall,moralesjose@smith-moore.info,Marketing,Marketing Manager,103817.68,2017-04-08
38,Victoria Henry,justinwilson@yahoo.com,Sales,Sales Executive,53496.5,2017-11-25
39,Barry Blair,brianjones@daniels.com,Operations,Operations Manager,61084.83,2020-02-10
40,Angela Gardner,david71@gmail.com,Operations,Logistics Coordinator,61553.93,2023-07-01
41,Noah Anderson,rachel21@hotmail.com,Finance,Financial Analyst,113394.98,2022-09-21
42,Rebecca Stewart,parkdavid@gmail.com,Sales,Account Manager,57180.61,2022-10-22
43,Carrie Wallace,richardandrews@clark.com,Sales,Business Development,87232.63,2022-12-06
44,Teresa Rodriguez,corey34@gmail.com,Marketing,SEO Specialist,109590.21,2024-02-17
45,Danielle Dillon,cpayne@johnson.net,IT,Data Scientist,92106.06,2022-12-17
